url_path,views_total,views_unique
/EarthSciML/Geodynamics.jl/pulls,15,1
/EarthSciML/GeoDynamics.jl,3,2
/EarthSciML/Geodynamics.jl/actions/runs/21833541679/job/62998105887,3,1
/EarthSciML/Geodynamics.jl/actions/runs/21835003425/job/63003480096,3,1
/EarthSciML/Geodynamics.jl/pull/2,3,1
/EarthSciML/Geodynamics.jl/pull/3,3,1
/EarthSciML/Geodynamics.jl,2,2
/EarthSciML/Geodynamics.jl/actions/runs/21833541679,2,1
/EarthSciML/Geodynamics.jl/pull/1,2,1
/EarthSciML/Geodynamics.jl/actions/runs/21833916957,1,1
